id,first_name,last_name,email,job_title,phone,hire_date
308,Cheryl,Rose,cherylrose307221@slingacademy.com,Web Developer,+1-058-620-9983x70605,
309,Justin,Mann,justinmann308432@slingacademy.com,Web Developer,718-998-3978,
310,Vanessa,Carter,vanessacarter309183@slingacademy.com,Web Developer,(620)811-3763,
311,Anthony,Colon,anthonycolon310698@slingacademy.com,Web Developer,001-388-080-7123x3000,
312,April,Holland,aprilholland311155@slingacademy.com,Web Developer,001-527-705-3200x648,
313,Bill,Anderson,billanderson312995@slingacademy.com,Web Developer,(202)724-9857,
314,Kelsey,Moss,kelseymoss313481@slingacademy.com,Web Developer,206-016-2029,
315,Maureen,Phillips,maureenphillips314243@slingacademy.com,Web Developer,+1-837-401-4253x976,
316,Michelle,Hooper,michellehooper315396@slingacademy.com,Web Developer,401.041.6802,
317,Steven,Lewis,stevenlewis316274@slingacademy.com,Web Developer,+1-584-489-5663x896,
318,Kevin,Rodriguez,kevinrodriguez317974@slingacademy.com,Web Developer,001-511-226-4416x83410,
319,Alexandra,Bell,alexandrabell318109@slingacademy.com,Web Developer,+1-426-702-6363x565,
320,Courtney,Mcdaniel,courtneymcdaniel319568@slingacademy.com,Web Developer,(871)098-2647x80448,
